Country,Population,Net Change,Yearly Change,Density,Land Area,Migrants,Fertility Rate,Median Age,Urban Population,World Share
Algeria,45606480,1.57 %,"703,255",19,2381740,-9999,2.8,28,75 %,0.57 %
Iraq,45504560,2.27 %,"1,008,438",105,434320,-6000,3.4,20,71 %,0.57 %
Afghanistan,42239854,2.70 %,"1,111,083",65,652860,-65846,4.4,17,26 %,0.53 %
Poland,41026067,2.93 %,"1,168,922",134,306230,-910475,1.5,40,55 %,0.51 %
Canada,38781291,0.85 %,"326,964",4,9093510,249746,1.5,41,81 %,0.48 %
Morocco,37840044,1.02 %,"382,073",85,446300,-39998,2.3,29,66 %,0.47 %
Saudi Arabia,36947025,1.48 %,"538,205",17,2149690,28998,2.4,31,83 %,0.46 %
Ukraine,36744634,-7.45 %,"-2,957,105",63,579320,1784718,1.3,45,82 %,0.46 %
Angola,36684202,3.08 %,"1,095,215",29,1246700,-1000,5.1,16,68 %,0.46 %
Uzbekistan,35163944,1.55 %,"536,292",83,425400,-19999,2.8,27,49 %,0.44 %
Yemen,34449825,2.24 %,"753,211",65,527970,-29914,3.6,19,37 %,0.43 %
Peru,34352719,0.89 %,"303,131",27,1280000,-61442,2.1,29,79 %,0.43 %
Malaysia,34308525,1.09 %,"370,304",104,328550,48997,1.8,31,78 %,0.43 %
Ghana,34121985,1.93 %,"646,115",150,227540,-9999,3.5,21,57 %,0.42 %
Mozambique,33897354,2.81 %,"927,836",43,786380,-5000,4.5,17,40 %,0.42 %
Nepal,30896590,1.14 %,"349,010",216,143350,-62012,2.0,24,22 %,0.38 %
Madagascar,30325732,2.41 %,"714,018",52,581795,-1500,3.7,19,40 %,0.38 %
Côte d'Ivoire,28873034,2.53 %,"712,492",91,318000,6000,4.3,18,52 %,0.36 %
Venezuela,28838499,1.90 %,"536,803",33,882050,321106,2.2,28,N.A.,0.36 %
Cameroon,28647293,2.63 %,"732,757",61,472710,-4800,4.3,18,58 %,0.36 %
Niger,27202843,3.80 %,"994,866",21,1266700,1000,6.7,15,17 %,0.34 %
Australia,26439111,1.00 %,"261,698",3,7682300,139991,1.6,38,86 %,0.33 %
North Korea,26160821,0.35 %,"91,405",217,120410,-2000,1.8,36,63 %,0.33 %
Taiwan,23923276,0.13 %,"29,882",676,35410,23999,1.2,42,80 %,0.30 %
Mali,23293698,3.10 %,"700,108",19,1220190,-39998,5.8,15,44 %,0.29 %
Burkina Faso,23251485,2.55 %,"577,723",85,273600,-24998,4.6,17,32 %,0.29 %
Syria,23227014,4.98 %,"1,101,765",126,183630,757103,2.7,22,53 %,0.29 %
Sri Lanka,21893579,0.28 %,"61,436",349,62710,-77495,2.0,33,19 %,0.27 %
Malawi,20931751,2.58 %,"526,434",222,94280,-6000,3.8,17,19 %,0.26 %
Zambia,20569737,2.76 %,"552,062",28,743390,-5000,4.2,17,46 %,0.26 %
Romania,19892812,1.19 %,"233,545",86,230170,-254616,1.7,41,53 %,0.25 %
Chile,19629590,0.13 %,"25,857",26,743532,-71205,1.5,36,85 %,0.24 %
Kazakhstan,19606633,1.08 %,"208,635",7,2699700,0,3.0,30,57 %,0.24 %
Chad,18278568,3.13 %,"555,253",15,1259200,-2000,6.1,15,24 %,0.23 %
Ecuador,18190484,1.05 %,"189,484",73,248360,-21525,2.0,28,64 %,0.23 %
Somalia,18143378,3.10 %,"545,867",29,627340,-30000,6.1,15,46 %,0.23 %
Guatemala,18092026,1.39 %,"248,118",169,107160,-9110,2.3,23,55 %,0.22 %
Senegal,17763163,2.58 %,"446,714",92,192530,-19999,4.3,18,52 %,0.22 %
Netherlands,17618299,0.31 %,"54,285",522,33720,29998,1.6,42,92 %,0.22 %
Cambodia,16944826,1.06 %,"176,984",96,176520,-29998,2.3,27,26 %,0.21 %
Zimbabwe,16665409,2.11 %,"344,872",43,386850,-9999,3.4,18,37 %,0.21 %
Guinea,14190612,2.39 %,"331,271",58,245720,-4000,4.2,18,40 %,0.18 %
Rwanda,14094683,2.31 %,"317,985",571,24670,-8999,3.7,19,18 %,0.18 %
Benin,13712828,2.70 %,"359,964",122,112760,-200,4.8,18,48 %,0.17 %
Burundi,13238559,2.71 %,"348,983",516,25680,2000,4.9,16,15 %,0.16 %
Tunisia,12458223,0.83 %,"102,106",80,155360,-4000,2.0,32,69 %,0.15 %
Bolivia,12388571,1.35 %,"164,461",11,1083300,-3000,2.5,24,69 %,0.15 %
Haiti,11724763,1.21 %,"139,767",425,27560,-31811,2.7,23,60 %,0.15 %
Belgium,11686140,0.26 %,"30,210",386,30280,23999,1.6,41,99 %,0.15 %
Jordan,11337052,0.45 %,"51,183",128,88780,-157392,2.7,24,85 %,0.14 %
Dominican Republic,11332972,0.93 %,"104,151",235,48320,-29099,2.2,28,85 %,0.14 %
Cuba,11194449,-0.16 %,"-17,742",105,106440,-6000,1.5,41,80 %,0.14 %
South Sudan,11088796,1.61 %,"175,632",18,610952,-23291,4.3,17,28 %,0.14 %
Sweden,10612086,0.59 %,"62,739",26,410340,39998,1.7,40,86 %,0.13 %
Honduras,10593798,1.54 %,"160,938",95,111890,-5034,2.3,24,58 %,0.13 %
Czech Republic (Czechia),10495295,0.01 %,"1,309",136,77240,22011,1.7,43,75 %,0.13 %
Azerbaijan,10412651,0.53 %,"54,577",126,82658,0,1.7,32,57 %,0.13 %
Greece,10341277,-0.42 %,"-43,694",80,128900,5000,1.4,45,86 %,0.13 %
Papua New Guinea,10329931,1.85 %,"187,312",23,452860,-800,3.1,22,12 %,0.13 %
Portugal,10247605,-0.23 %,"-23,260",112,91590,9999,1.4,46,67 %,0.13 %
Hungary,10156239,1.90 %,"188,931",112,90530,-156677,1.6,42,68 %,0.13 %
Tajikistan,10143543,1.92 %,"190,756",72,139960,-19999,3.1,22,28 %,0.13 %
United Arab Emirates,9516871,0.80 %,"75,742",114,83600,0,1.4,34,94 %,0.12 %
Belarus,9498238,-0.39 %,"-36,716",47,202910,-4282,1.5,41,80 %,0.12 %
Israel,9174520,1.51 %,"136,211",424,21640,9999,2.9,29,92 %,0.11 %
Togo,9053799,2.32 %,"205,100",166,54390,-2000,4.1,19,44 %,0.11 %
Austria,8958960,0.22 %,"19,343",109,82409,19999,1.5,43,59 %,0.11 %
Switzerland,8796669,0.64 %,"56,197",223,39516,39998,1.5,42,75 %,0.11 %
Sierra Leone,8791092,2.15 %,"185,374",122,72180,-4000,3.8,19,43 %,0.11 %
Laos,7633779,1.39 %,"104,304",33,230800,-9999,2.4,24,37 %,0.09 %
Hong Kong,7491609,0.04 %,"2,744",7135,1050,19999,0.8,46,N.A.,0.09 %
Serbia,7149077,-1.00 %,"-72,288",82,87460,-9999,1.5,43,69 %,0.09 %
Nicaragua,7046310,1.41 %,"97,918",59,120340,-8000,2.3,25,56 %,0.09 %
Libya,6888388,1.12 %,"76,047",4,1759540,-2000,2.4,27,82 %,0.09 %
Paraguay,6861524,1.19 %,"80,780",17,397300,-12499,2.4,26,67 %,0.09 %
Kyrgyzstan,6735347,1.58 %,"104,724",35,191800,-9999,2.9,24,37 %,0.08 %
Bulgaria,6687717,-1.39 %,"-94,236",62,108560,-4800,1.6,45,78 %,0.08 %
Turkmenistan,6516100,1.33 %,"85,330",14,469930,-4000,2.6,26,52 %,0.08 %
El Salvador,6364943,0.45 %,"28,551",307,20720,-23249,1.8,27,78 %,0.08 %
Congo,6106869,2.29 %,"136,445",18,341500,-1000,4.0,18,70 %,0.08 %
Singapore,6014723,0.65 %,"39,034",8592,700,26998,1.0,43,N.A.,0.07 %
Denmark,5910913,0.49 %,"28,652",139,42430,19999,1.7,41,88 %,0.07 %
Slovakia,5795199,2.69 %,"151,746",121,48088,-112067,1.6,40,51 %,0.07 %
Central African Republic,5742315,2.92 %,"163,171",9,622980,-14716,5.8,15,40 %,0.07 %
Finland,5545475,0.09 %,"4,730",18,303890,13999,1.4,43,87 %,0.07 %
Norway,5474360,0.74 %,"40,041",15,365268,27998,1.5,40,86 %,0.07 %
Liberia,5418377,2.18 %,"115,696",56,96320,-5000,4.0,18,54 %,0.07 %
State of Palestine,5371230,2.31 %,"121,158",892,6020,-5000,3.4,20,83 %,0.07 %
Lebanon,5353930,-2.47 %,"-135,809",523,10230,-177331,2.1,29,97 %,0.07 %
New Zealand,5228100,0.83 %,"42,812",20,263310,12999,1.8,37,82 %,0.06 %
Costa Rica,5212173,0.60 %,"31,344",102,51060,3750,1.5,34,82 %,0.06 %
Ireland,5056935,0.67 %,"33,826",73,68890,9999,1.8,38,64 %,0.06 %
Mauritania,4862989,2.68 %,"126,850",5,1030700,3000,4.3,18,61 %,0.06 %
Oman,4644384,1.49 %,"68,086",15,309500,0,2.5,29,N.A.,0.06 %
Panama,4468087,1.35 %,"59,506",60,74340,7262,2.3,29,70 %,0.06 %
Kuwait,4310108,0.97 %,"41,235",242,17820,11999,2.1,40,N.A.,0.05 %
Croatia,4008617,-0.54 %,"-21,741",72,55960,-2000,1.4,44,59 %,0.05 %
Eritrea,3748901,1.76 %,"64,869",37,101000,-15297,3.7,19,67 %,0.05 %
Georgia,3728282,-0.43 %,"-16,103",54,69490,-9999,2.1,37,63 %,0.05 %
Mongolia,3447157,1.44 %,"48,791",2,1553560,-850,2.7,27,67 %,0.04 %
Moldova,3435931,4.98 %,"162,935",105,32850,-125204,1.8,35,50 %,0.04 %
Uruguay,3423108,0.01 %,314,20,175020,-1500,1.5,36,99 %,0.04 %
Puerto Rico,3260314,0.24 %,"7,907",368,8870,19835,1.3,44,N.A.,0.04 %
Bosnia and Herzegovina,3210847,-0.70 %,"-22,679",63,51000,-500,1.3,42,54 %,0.04 %
Albania,2832439,-0.35 %,"-9,882",103,27400,-8000,1.4,38,67 %,0.04 %
Jamaica,2825544,-0.06 %,"-1,833",261,10830,-10999,1.3,32,59 %,0.04 %
Armenia,2777970,-0.09 %,"-2,499",98,28470,-5000,1.6,35,67 %,0.03 %
Gambia,2773168,2.48 %,"67,176",274,10120,-3000,4.5,17,58 %,0.03 %
Lithuania,2718352,-1.15 %,"-31,703",43,62674,-13128,1.6,44,71 %,0.03 %
Qatar,2716391,0.79 %,"21,269",234,11610,0,1.8,34,N.A.,0.03 %
Botswana,2675352,1.71 %,"45,056",5,566730,3000,2.7,24,69 %,0.03 %
Namibia,2604172,1.45 %,"37,160",3,823290,-3916,3.2,21,60 %,0.03 %
Gabon,2436566,1.99 %,"47,574",9,257670,1000,3.4,22,85 %,0.03 %
Lesotho,2330318,1.06 %,"24,493",77,30360,-4000,2.9,22,31 %,0.03 %
Guinea-Bissau,2150842,2.15 %,"45,276",76,28120,-1400,3.8,19,45 %,0.03 %
Slovenia,2119675,-0.01 %,-169,105,20140,2000,1.6,44,55 %,0.03 %
North Macedonia,2085679,-0.38 %,"-7,920",83,25220,-1000,1.4,39,60 %,0.03 %
Latvia,1830211,-1.10 %,"-20,440",29,62200,-7630,1.6,44,69 %,0.02 %
Equatorial Guinea,1714671,2.37 %,"39,763",61,28050,4000,4.1,21,67 %,0.02 %
Trinidad and Tobago,1534937,0.25 %,"3,893",299,5130,-800,1.6,36,48 %,0.02 %
Bahrain,1485509,0.90 %,"13,276",1955,760,0,1.8,34,N.A.,0.02 %
Timor-Leste,1360596,1.44 %,"19,300",91,14870,-5000,3.0,21,35 %,0.02 %
Estonia,1322765,-0.25 %,"-3,297",31,42390,-1000,1.7,42,68 %,0.02 %
Mauritius,1300557,0.08 %,"1,088",641,2030,0,1.4,37,40 %,0.02 %
Cyprus,1260138,0.69 %,"8,650",136,9240,5000,1.3,39,65 %,0.02 %
Eswatini,1210822,0.76 %,"9,152",70,17200,-5268,2.8,22,31 %,0.02 %
Djibouti,1136455,1.39 %,"15,606",49,23180,900,2.7,24,72 %,0.01 %
Réunion,981796,0.80 %,"7,744",393,2500,-630,2.2,34,93 %,0.01 %
Fiji,936375,0.71 %,"6,609",51,18270,-3289,2.4,27,59 %,0.01 %
Comoros,852075,1.83 %,"15,301",458,1861,-2000,3.8,20,33 %,0.01 %
Guyana,813834,0.63 %,"5,108",4,196850,-3900,2.3,26,27 %,0.01 %
Bhutan,787424,0.64 %,"4,969",21,38117,300,1.4,29,49 %,0.01 %
Solomon Islands,740424,2.23 %,"16,151",26,27990,-1600,3.9,19,24 %,0.01 %
Macao,704149,1.29 %,"8,981",23472,30,5000,1.1,39,97 %,0.01 %
Luxembourg,654768,1.11 %,"7,169",253,2590,4883,1.4,39,88 %,0.01 %
Montenegro,626485,-0.10 %,-597,47,13450,-480,1.7,39,69 %,0.01 %
Suriname,623236,0.84 %,"5,196",4,156000,-1000,2.3,28,63 %,0.01 %
Cabo Verde,598682,0.93 %,"5,533",149,4030,-1227,1.9,27,67 %,0.01 %
Western Sahara,587259,1.96 %,"11,273",2,266000,5600,2.2,32,95 %,0.01 %
Micronesia,544321,0.98 %,"5,308",778,700,-1642,2.7,26,71 %,0.01 %
Malta,535064,0.33 %,"1,778",1672,320,850,1.2,40,78 %,0.01 %
Maldives,521021,-0.53 %,"-2,766",1737,300,-8652,1.7,32,39 %,0.01 %
Brunei,452524,0.78 %,"3,522",86,5270,0,1.7,33,80 %,0.01 %
Bahamas,412623,0.64 %,"2,639",41,10010,1000,1.4,33,85 %,0.01 %
Belize,410825,1.37 %,"5,553",18,22810,600,2.0,26,48 %,0.01 %
Guadeloupe,395839,0.02 %,87,234,1690,-800,2.0,42,N.A.,0.00 %
Iceland,375318,0.65 %,"2,419",4,100250,380,1.7,36,88 %,0.00 %
Martinique,366981,-0.14 %,-526,346,1060,-650,1.9,47,94 %,0.00 %
Mayotte,335995,3.03 %,"9,894",896,375,0,4.3,17,40 %,0.00 %
Vanuatu,334506,2.38 %,"7,766",27,12190,0,3.7,20,24 %,0.00 %
French Guiana,312155,2.49 %,"7,598",4,82200,1200,3.4,24,90 %,0.00 %
French Polynesia,308872,0.85 %,"2,593",84,3660,-100,1.7,34,59 %,0.00 %
New Caledonia,292991,1.05 %,"3,041",16,18280,500,2.0,34,74 %,0.00 %
Barbados,281995,0.13 %,360,656,430,-80,1.6,40,32 %,0.00 %
Sao Tome & Principe,231856,1.97 %,"4,476",242,960,-600,3.7,19,77 %,0.00 %
Samoa,225681,1.48 %,"3,299",80,2830,-1500,3.8,21,16 %,0.00 %
Curaçao,192077,0.48 %,914,433,444,515,1.6,36,77 %,0.00 %
Saint Lucia,180251,0.22 %,394,295,610,0,1.4,34,19 %,0.00 %
Guam,172952,0.69 %,"1,178",320,540,-500,2.5,30,95 %,0.00 %
Kiribati,133515,1.74 %,"2,283",165,810,-400,3.2,22,56 %,0.00 %
Grenada,126183,0.59 %,745,371,340,-200,2.0,32,32 %,0.00 %
Tonga,107773,0.86 %,915,150,720,-800,3.2,22,24 %,0.00 %
Seychelles,107660,0.51 %,542,234,460,-200,2.3,33,53 %,0.00 %
Aruba,106277,-0.16 %,-168,590,180,157,1.2,42,45 %,0.00 %
St. Vincent & Grenadines,103698,-0.24 %,-250,266,390,-200,1.8,33,58 %,0.00 %
U.S. Virgin Islands,98750,-0.72 %,-715,282,350,-450,2.1,43,N.A.,0.00 %
Antigua and Barbuda,94298,0.57 %,535,214,440,0,1.6,36,28 %,0.00 %
Isle of Man,84710,0.23 %,191,149,570,340,1.6,46,55 %,0.00 %
Andorra,80088,0.33 %,264,170,470,200,1.1,43,85 %,0.00 %
Dominica,73040,0.42 %,303,97,750,-40,1.6,32,75 %,0.00 %
Cayman Islands,69310,0.88 %,604,289,240,400,1.2,38,95 %,0.00 %
Bermuda,64069,-0.18 %,-115,1281,50,0,1.4,46,94 %,0.00 %
Greenland,56643,0.31 %,177,0,410450,-100,1.9,35,89 %,0.00 %
Faeroe Islands,53270,0.34 %,180,38,1396,0,2.7,38,41 %,0.00 %
Northern Mariana Islands,49796,0.49 %,245,108,460,-50,2.1,38,N.A.,0.00 %
Saint Kitts & Nevis,47755,0.21 %,98,184,260,20,1.5,35,38 %,0.00 %
Turks and Caicos,46062,0.79 %,359,48,950,200,1.6,38,79 %,0.00 %
Sint Maarten,44222,0.11 %,47,1301,34,0,1.6,48,97 %,0.00 %
American Samoa,43914,-0.81 %,-359,220,200,-790,2.2,29,N.A.,0.00 %
Marshall Islands,41996,1.03 %,427,233,180,0,2.6,26,N.A.,0.00 %
Liechtenstein,39584,0.65 %,257,247,160,150,1.5,44,15 %,0.00 %
Monaco,36297,-0.47 %,-172,24360,1,200,2.1,54,N.A.,0.00 %
San Marino,33642,-0.05 %,-18,561,60,100,1.1,47,99 %,0.00 %
Gibraltar,32688,0.12 %,39,3269,10,-24,1.8,42,N.A.,0.00 %
Saint Martin,32077,0.90 %,286,605,53,0,2.4,39,0 %,0.00 %
British Virgin Islands,31538,0.74 %,233,210,150,200,1.0,39,53 %,0.00 %
Caribbean Netherlands,27148,0.45 %,122,83,328,100,1.6,40,74 %,0.00 %
Palau,18058,0.02 %,3,39,460,-20,2.3,36,N.A.,0.00 %
Cook Islands,17044,0.19 %,33,71,240,-93,2.2,33,79 %,0.00 %
Anguilla,15899,0.26 %,42,177,90,0,1.3,38,98 %,0.00 %
Nauru,12780,0.88 %,112,639,20,-140,3.4,20,88 %,0.00 %
Wallis & Futuna,11502,-0.60 %,-70,82,140,-119,1.9,37,0 %,0.00 %
Tuvalu,11396,0.74 %,84,380,30,-60,3.1,25,69 %,0.00 %
Saint Barthelemy,10994,0.25 %,27,524,21,0,1.0,40,0 %,0.00 %
Saint Pierre & Miquelon,5840,-0.38 %,-22,25,230,0,1.6,44,N.A.,0.00 %
Saint Helena,5314,-1.12 %,-60,14,390,0,1.6,53,32 %,0.00 %
Montserrat,4386,-0.09 %,-4,44,100,0,1.6,44,11 %,0.00 %
Falkland Islands,3791,0.29 %,11,0,12170,0,1.6,40,62 %,0.00 %
Niue,1935,0.05 %,1,7,260,0,2.4,36,41 %,0.00 %
Tokelau,1893,1.18 %,22,189,10,0,2.6,27,0 %,0.00 %
Holy See,518,1.57 %,8,1295,0,0,,,N.A.,0.00 %
